mmsi;date_time_utc;sog;cog;true_heading;nav_status;calc_speed;lon;lat
219348000;2020-01-15 09:06:00;23.7;44.5;46.0;0;;5.43955;59.7026
219348000;2020-01-15 09:07:00;23.8;44.2;45.0;0;;5.44848;59.707233
219348000;2020-01-15 09:08:00;24.1;44.0;45.0;0;;5.457472;59.711975
219348000;2020-01-15 09:09:00;24.2;44.8;44.0;0;;5.46693;59.71685
219348000;2020-01-15 09:10:00;24.1;43.7;44.0;0;;5.475985;59.721509
219348000;2020-01-15 09:11:00;24.1;43.7;44.0;0;;5.485228;59.7264
219348000;2020-01-15 09:12:00;23.9;43.9;43.0;0;;5.49423;59.731075
219348000;2020-01-15 09:13:00;24.0;41.0;42.0;0;;5.50337;59.7362
219348000;2020-01-15 09:14:00;24.2;42.0;42.0;0;;5.51212;59.741067
219348000;2020-01-15 09:15:00;24.2;42.0;42.0;0;;5.52113;59.7461
219348000;2020-01-15 09:16:00;24.1;42.0;42.0;0;;5.5299;59.750925
219348000;2020-01-15 09:17:00;24.1;43.1;42.0;0;;5.53895;59.756
219348000;2020-01-15 09:18:00;23.7;38.1;37.0;0;;5.54748;59.760867
219348000;2020-01-15 09:19:00;23.5;28.2;27.0;0;;5.55475;59.7664
219348000;2020-01-15 09:20:00;23.1;22.6;22.0;0;;5.560113;59.772133
219348000;2020-01-15 09:21:00;23.1;13.9;12.0;0;;5.5641;59.7783
219348000;2020-01-15 09:22:00;22.9;5.6;5.0;0;;5.56614;59.784533
219348000;2020-01-15 09:23:00;23.0;358.8;357.0;0;;5.56662;59.790833
219348000;2020-01-15 09:24:00;22.8;351.0;350.0;0;;5.56523;59.7973
219348000;2020-01-15 09:25:00;22.6;351.4;351.0;0;;5.56317;59.80345
257029700;2020-01-15 09:06:00;13.1;65.6;66.0;0;;5.525724;59.753267
257029700;2020-01-15 09:07:00;13.1;57.6;60.0;0;;5.532033;59.7551
257029700;2020-01-15 09:08:00;13.1;58.3;60.0;0;;5.538083;59.757
257029700;2020-01-15 09:09:00;13.0;58.1;58.0;0;;5.544126;59.758955
257029700;2020-01-15 09:10:00;11.9;41.9;38.0;0;;5.54946;59.7613
257029700;2020-01-15 09:11:00;11.2;36.3;36.0;0;;5.553186;59.763718
257029700;2020-01-15 09:12:00;11.7;37.0;37.0;0;;5.557036;59.76635
257029700;2020-01-15 09:13:00;11.7;37.2;39.0;0;;5.560801;59.768911
257029700;2020-01-15 09:14:00;11.5;37.0;38.0;0;;5.564727;59.77144
257029700;2020-01-15 09:15:00;11.4;33.1;35.0;0;;5.568268;59.774022
257029700;2020-01-15 09:16:00;11.4;34.3;36.0;0;;5.571823;59.776767
257029700;2020-01-15 09:17:00;11.2;33.8;35.0;0;;5.575288;59.779322
257029700;2020-01-15 09:18:00;11.2;31.3;35.0;0;;5.578552;59.78194
257029700;2020-01-15 09:19:00;11.1;33.9;37.0;0;;5.581895;59.78455
257029700;2020-01-15 09:20:00;11.1;32.9;35.0;0;;5.585218;59.787118
257029700;2020-01-15 09:21:00;11.1;33.3;36.0;0;;5.588621;59.789691
257029700;2020-01-15 09:22:00;11.1;32.6;35.0;0;;5.591925;59.792218
257029700;2020-01-15 09:23:00;11.2;31.9;36.0;0;;5.595249;59.794964
257029700;2020-01-15 09:24:00;11.2;32.9;36.0;0;;5.59852;59.797533
257029700;2020-01-15 09:25:00;11.2;35.4;39.0;0;;5.601975;59.80015
257060530;2020-01-15 09:06:00;;;;;;5.49041;59.7229
257060530;2020-01-15 09:07:00;27.5;39.4;511.0;−99;;5.492976;59.72439
257060530;2020-01-15 09:08:00;27.2;37.3;511.0;−99;;5.501667;59.730613
257060530;2020-01-15 09:09:00;27.4;35.1;511.0;−99;;5.510102;59.737013
257060530;2020-01-15 09:10:00;28.2;35.5;511.0;−99;;5.518549;59.743331
257060530;2020-01-15 09:11:00;28.1;29.9;511.0;−99;;5.527248;59.749946
257060530;2020-01-15 09:12:00;27.7;32.5;511.0;−99;;5.53476;59.756513
257060530;2020-01-15 09:13:00;27.1;34.5;511.0;−99;;5.543603;59.762714
257060530;2020-01-15 09:14:00;26.9;37.3;511.0;−99;;5.552357;59.7688
257060530;2020-01-15 09:15:00;26.9;36.6;511.0;−99;;5.561177;59.7748
257060530;2020-01-15 09:16:00;27.0;34.8;511.0;−99;;5.570058;59.7808
257060530;2020-01-15 09:17:00;26.0;35.6;511.0;−99;;5.578808;59.787038
257060530;2020-01-15 09:18:00;26.2;37.2;511.0;−99;;5.587686;59.7931
257060530;2020-01-15 09:19:00;26.7;38.8;511.0;−99;;5.596606;59.7991
257060530;2020-01-15 09:20:00;27.1;39.7;511.0;−99;;5.605556;59.804926
257060530;2020-01-15 09:21:00;27.4;40.5;511.0;−99;;5.614924;59.810435
257060530;2020-01-15 09:22:00;27.6;40.3;511.0;−99;;5.62489;59.816254
257060530;2020-01-15 09:23:00;27.4;49.1;511.0;−99;;5.634969;59.821771
257060530;2020-01-15 09:24:00;27.2;59.1;511.0;−99;;5.646991;59.826303
257060530;2020-01-15 09:25:00;27.2;74.3;511.0;−99;;5.660796;59.829323
