mmsi,times,x,y,sog,cog
259490000,2018-09-17 18:25:00,11620.1097329512,99932.4618062912,0,133.2
259490000,2018-09-17 18:26:00,11620.1112039533,99932.5215826548,0,133.2
259490000,2018-09-17 18:27:00,11620.1126749561,99932.5813590185,0,133.2
259490000,2018-09-17 18:28:00,11620.0832550649,99931.3858317401,0,133.2
259490000,2018-09-17 18:29:00,11620.0832550649,99931.3858317401,0,133.2
259490000,2018-09-17 18:30:00,11620.0832550649,99931.3858317401,0,133.2
259490000,2018-09-17 18:31:00,11620.0832550649,99931.3858317401,0,133.4
259490000,2018-09-17 18:32:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:33:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:34:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:35:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:36:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:37:00,11620.0832550649,99931.3858317401,0,133.5
259490000,2018-09-17 18:38:00,11620.1126749561,99932.5813590185,0,133.5
259490000,2018-09-17 18:39:00,11620.1126749561,99932.5813590185,0,133.5
259490000,2018-09-17 18:40:00,11620.1126749561,99932.5813590185,0,133.4
259490000,2018-09-17 18:41:00,11620.0832550649,99931.3858317401,0,133.4
259490000,2018-09-17 18:42:00,11620.0832550649,99931.3858317401,0,153.4
259490000,2018-09-17 18:43:00,11631.1698414553,99929.1987638308,0.3,332.3
259490000,2018-09-17 18:44:00,11642.2623128394,99927.2508102326,0.6,356.8
259490000,2018-09-17 18:45:00,11664.6178853374,99930.2889119405,0.5,29.1
259490000,2018-09-17 18:46:00,11675.7809627482,99931.2101920946,0.3,345.8
259490000,2018-09-17 18:47:00,11675.7074146888,99928.221414885,0.2,336.5
259490000,2018-09-17 18:48:00,11686.7234008781,99923.1651582071,0.4,311.2
259490000,2018-09-17 18:49:00,11697.5040782984,99908.5448914025,0.8,322.2
259490000,2018-09-17 18:50:00,11719.4728758722,99895.8622376004,1,342.6
259490000,2018-09-17 18:51:00,11752.0696539607,99862.3432037868,1.6,315.8
259490000,2018-09-17 18:52:00,11773.6946919812,99835.6738128795,1,324.8
259490000,2018-09-17 18:53:00,11817.8722777109,99820.0529330745,1.6,337
259490000,2018-09-17 18:54:00,11849.5914677493,99750.791028362,2.7,286.8
259490000,2018-09-17 18:55:00,11869.0925933134,99637.571959471,3.7,278.9
259490000,2018-09-17 18:56:00,11877.7049250742,99534.4896406518,3.5,285
259490000,2018-09-17 18:57:00,11919.739983587,99431.3661799509,3.5,292.6
259490000,2018-09-17 18:58:00,11970.1934070551,99307.9436261628,4.7,305
259490000,2018-09-17 18:59:00,12129.0005902053,99182.6524438025,7,346.9
259490000,2018-09-17 19:00:00,12402.0056692822,99107.8045363368,9.9,342
259490000,2018-09-17 19:01:00,12758.0235848608,98937.6579768273,12.9,328.3
259490000,2018-09-17 19:02:00,13103.6493202129,98642.2337217026,15.2,317
259490000,2018-09-17 19:03:00,13483.7967511896,98239.6056355619,17.8,310.1
259490000,2018-09-17 19:04:00,13795.4681344976,97767.567553395,18.4,302
259490000,2018-09-17 19:05:00,14079.6448103007,97229.1354471069,20,293.6
259490000,2018-09-17 19:06:00,14270.9803076027,96606.4456144227,21.6,286.6
259490000,2018-09-17 19:07:00,14457.5259286696,95946.8147675227,22,287.4
259490000,2018-09-17 19:08:00,14652.6369649111,95282.1459920871,22.6,287.9
259490000,2018-09-17 19:09:00,14847.0482709322,94616.3060232643,22.5,287.5
259490000,2018-09-17 19:10:00,15058.5501315046,93938.1854583535,23.2,287.8
259490000,2018-09-17 19:11:00,15271.0385496163,93249.6593281998,23,290.5
259490000,2018-09-17 19:12:00,15553.0053702198,92588.7202876648,23.5,299.8
259490000,2018-09-17 19:13:00,15931.7810786803,91937.9866315503,24,300.2
259490000,2018-09-17 19:14:00,16292.1340651036,91285.8201823834,24.6,300.1
259490000,2018-09-17 19:15:00,16670.5547330366,90610.0714535107,24.5,299.5
259490000,2018-09-17 19:16:00,17019.8546596546,89952.4187155409,24.4,298.6
259490000,2018-09-17 19:17:00,17381.8158055929,89278.1787382143,24.9,299.5
259490000,2018-09-17 19:18:00,17750.8536881425,88581.2144149038,25.2,299.5
259490000,2018-09-17 19:19:00,18122.2601264529,87900.7483330183,25.2,299
259490000,2018-09-17 19:20:00,18489.8539113923,87213.9238344666,24.8,299.5
259490000,2018-09-17 19:21:00,18859.2659952253,86518.232554594,25.5,299.1
259490000,2018-09-17 19:22:00,19223.3692307494,85829.3493247083,25.6,298.6
259490000,2018-09-17 19:23:00,19598.2606652535,85118.2809807257,25.5,299
259490000,2018-09-17 19:24:00,19962.6455137462,84431.7369062903,25.6,298.5
259490000,2018-09-17 19:25:00,20343.3435563687,83720.5139333625,25.5,298.8
259490000,2018-09-17 19:26:00,20707.6598438621,83019.310452075,25.5,298.5
259490000,2018-09-17 19:27:00,21058.3486672493,82326.8659450324,25.7,298.3
259490000,2018-09-17 19:28:00,21432.8884872756,81612.7045337299,25.9,298.1
259490000,2018-09-17 19:29:00,21800.8251278047,80890.8163725668,26,298.8
259490000,2018-09-17 19:30:00,22169.2056193468,80184.9788969123,26,298.2
259490000,2018-09-17 19:39:00,23614.4044850716,77361.0944352543,NaN,NaN
255805883,2018-09-17 18:25:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:26:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:27:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:28:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:29:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:30:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:31:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:32:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:33:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:34:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:35:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:36:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:37:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:38:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:39:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:40:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:41:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:42:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:43:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:44:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:45:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:46:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:47:00,11098.9287669659,77618.5342491421,NaN,NaN
255805883,2018-09-17 18:48:00,11098.9287669659,77618.5342491421,NaN,NaN
